institution,program
University of British Columbia - Okanagan Campus,Mathematics
St. Francis Xavier University,Mathematics
Cape Breton University,Mathematics
Queen's University,Mathematics
St. Francis Xavier University,Mathematics
University of British Columbia - Vancouver Campus,Mathematics
University of the Fraser Valley,Media and Communication Studies
University of British Columbia - Vancouver Campus,Media Studies
University of Waterloo,Medieval Studies 
University of Victoria,Medieval Studies
University of Victoria,Medieval Studies
University of British Columbia - Vancouver Campus,Medieval Studies
University of Victoria,Mediterranean Studies (Spain or Italy Concentration)
University of British Columbia - Vancouver Campus,Modern European Studies
University of Alberta,Modern Languages & Cultural Studies
University of British Columbia - Okanagan Campus,"Modern Languages (French, German, Spanish, Japanese)"
University of Lethbridge,Modern Languages
University of Lethbridge,Multimedia / New Media
University of Victoria,Music and Computer Science
University of Victoria,Music
Trinity Western University,Music
University of Lethbridge,Music
University of Waterloo,Music
Queen's University,Music
University of British Columbia - Vancouver Campus,Music
University of Alberta,Music
University of Lethbridge,Native American Studies
McGill University ,North American Studies
University of Northern British Columbia,Northern First Nations Studies
University of Northern British Columbia,Northern Studies
University of Victoria,Pacific and Asian Studies
University of Waterloo,Peace and Conflict Studies 
University of Regina,Philosophy & Classics
Queen's University,Philosophy
University of British Columbia - Vancouver Campus,Philosophy
University of Calgary,Philosophy
University of Waterloo,Philosophy
University of Toronto,Philosophy
Wilfrid Laurier University,Philosophy
University of Lethbridge,Philosophy
University of Victoria,Philosophy
University of British Columbia - Okanagan Campus,Philosophy
Simon Fraser University,Philosophy
University of Alberta,Philosophy
University of British Columbia - Okanagan Campus,"Philosophy, Politics & Economics"
Wilfrid Laurier University,"Philosophy, Politics & Economics"
OCAD University,Photography
University of Lethbridge,Physical Education
University of Ottawa,Physical Geography and Geomatics
Carleton University,Physical Geography
University of British Columbia - Okanagan Campus,Police Science
Mount Royal University,Policy Studies
University of Victoria,Political Science - European Studies Concentration
Cape Breton University,Political Science
University of Waterloo,Political Science
University of Victoria,Political Science
Memorial University of Newfoundland,Political Science
University of Lethbridge,Political Science
Wilfrid Laurier University,Political Science
Carleton University,Political Science
University of Northern British Columbia,Political Science
Simon Fraser University,Political Science
University of Guelph,Political Science
McGill University ,Political Science
University of British Columbia - Okanagan Campus,Political Science
University of Regina,Political Science
University of Calgary,Political Science
Brock University,Political Science
University of British Columbia - Vancouver Campus,Political Science
University of Alberta,Political Science
University of Manitoba,Political Studies Co-op
Queen's University,Political Studies
Trinity Western University,Political Studies
University of Manitoba,"Political Studies, B.A. Single Advanced - Co-op"
University of Manitoba,"Political Studies, B.A. Single Honours - Co-op"
Toronto Metropolitan University (formerly Ryerson University) ,Politics & Governance
Acadia University,Politics
Queen's University,"Politics, Philosophy and Economics"
OCAD University,Printmaking
University of Victoria,Professional Writing
University of Toronto,Psycholinguistics
Brock University,Psychology -  Comprehensive Stream
Brock University,Psychology -  Research Stream
University of British Columbia - Vancouver Campus,Psychology
Saint Mary's University,Psychology
University of Regina,Psychology
Queen's University,Psychology
Cape Breton University,Psychology
University of Guelph,Psychology
University of Lethbridge,Psychology
Acadia University,Psychology
Wilfrid Laurier University,Psychology
Carleton University,Psychology
University of the Fraser Valley,Psychology
University of Waterloo,Psychology
Memorial University of Newfoundland,Psychology
Simon Fraser University,Psychology
Trinity Western University,Psychology
University of Victoria,Psychology
University of Manitoba,Psychology
University of Alberta,Psychology
University of Manitoba,"Psychology, B.A. Single Advanced - Co-op"
Wilfrid Laurier University,Public Administration/Political Science
Brandon University,Public History
University of Toronto,Public Policies
St. Francis Xavier University,Public Policy and Governance
University of Victoria,Recreation and Health Education
University of Waterloo,Recreation and Leisure Studies
Wilfrid Laurier University,Religion & Culture
University of British Columbia - Vancouver Campus,"Religion, Literature & the Arts"
Queen's University,Religious Studies
University of Regina,Religious Studies
University of Calgary,Religious Studies
University of Victoria,Religious Studies
Trinity Western University,Religious Studies
University of Lethbridge,Religious Studies
University of Waterloo,Religious Studies
University of Regina,Resource and Environmental Management
University of Northern British Columbia,Resource-Based Tourism
University of British Columbia - Vancouver Campus,Romance Studies
McGill University ,Russian and Slavic Studies
University of Victoria,Russian Studies
University of Calgary,Russian
OCAD University,Sculpture and Installation
University of Waterloo,"Sexuality, Marriage and Family Studies "
